epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755028260,2022-11-06T19.17.08.260,7.921,8.140,1.829,3.079
1667755028300,2022-11-06T19.17.08.300,7.961,4.787,0.549,1.768
1667755028341,2022-11-06T19.17.08.341,8.002,-3.415,-2.348,-0.457
1667755028382,2022-11-06T19.17.08.382,8.043,-5.762,-2.470,-1.585
1667755028423,2022-11-06T19.17.08.423,8.084,-1.768,-0.549,-0.884
1667755028463,2022-11-06T19.17.08.463,8.124,-1.799,-0.579,0.579
1667755028504,2022-11-06T19.17.08.504,8.165,1.280,0.488,1.311
1667755028545,2022-11-06T19.17.08.545,8.206,1.220,-0.457,0.732
1667755028584,2022-11-06T19.17.08.584,8.245,-1.616,-2.409,-0.823
1667755028625,2022-11-06T19.17.08.625,8.286,-0.061,-2.409,-1.860
1667755028666,2022-11-06T19.17.08.666,8.327,1.280,-0.793,-1.433
1667755028707,2022-11-06T19.17.08.707,8.368,-0.488,-0.366,-0.610
1667755028747,2022-11-06T19.17.08.747,8.408,-1.555,-0.945,0.518
1667755028788,2022-11-06T19.17.08.788,8.449,0.122,-0.152,1.280
1667755028829,2022-11-06T19.17.08.829,8.490,2.256,0.823,0.823
1667755028870,2022-11-06T19.17.08.870,8.531,-0.274,-0.030,0.457
1667755028909,2022-11-06T19.17.08.909,8.570,-0.518,-0.579,0.488
1667755028950,2022-11-06T19.17.08.950,8.611,1.006,0.305,0.640
1667755028991,2022-11-06T19.17.08.991,8.652,0.427,0.976,0.640
1667755029031,2022-11-06T19.17.09.031,8.692,0.671,2.134,0.122
1667755029072,2022-11-06T19.17.09.072,8.733,-0.305,2.622,-0.335
1667755029113,2022-11-06T19.17.09.113,8.774,1.646,2.409,0.701
1667755029154,2022-11-06T19.17.09.154,8.815,1.372,1.768,0.579
1667755029194,2022-11-06T19.17.09.194,8.855,0.762,1.768,0.183
1667755029235,2022-11-06T19.17.09.235,8.896,-0.183,1.311,0.061
1667755029276,2022-11-06T19.17.09.276,8.937,-0.579,0.976,-0.030
1667755029317,2022-11-06T19.17.09.317,8.978,-0.762,0.671,-0.213
1667755029356,2022-11-06T19.17.09.356,9.017,-2.439,0.091,0.213
1667755029397,2022-11-06T19.17.09.397,9.058,-1.585,0.701,0.274
1667755029438,2022-11-06T19.17.09.438,9.099,-0.701,1.037,-0.030
1667755029479,2022-11-06T19.17.09.479,9.140,-0.701,1.220,-0.061
1667755029519,2022-11-06T19.17.09.519,9.180,-0.671,1.037,-0.152
1667755029560,2022-11-06T19.17.09.560,9.221,-0.244,0.610,0.122
1667755029601,2022-11-06T19.17.09.601,9.262,0.854,0.854,0.213
1667755029640,2022-11-06T19.17.09.640,9.301,-0.305,0.762,0.183
1667755029681,2022-11-06T19.17.09.681,9.342,-0.274,0.701,0.213
1667755029722,2022-11-06T19.17.09.722,9.383,0.884,1.098,0.244
1667755029763,2022-11-06T19.17.09.763,9.424,1.098,0.793,0.549
1667755029803,2022-11-06T19.17.09.803,9.464,0.823,0.732,0.457
1667755029844,2022-11-06T19.17.09.844,9.505,1.189,1.341,0.427
1667755029885,2022-11-06T19.17.09.885,9.546,1.128,1.494,0.396
1667755029926,2022-11-06T19.17.09.926,9.587,1.250,1.555,0.305
1667755029966,2022-11-06T19.17.09.966,9.627,1.738,1.311,0.427
1667755030007,2022-11-06T19.17.10.007,9.668,0.884,1.220,0.152
1667755030048,2022-11-06T19.17.10.048,9.709,-0.579,1.189,0.122
1667755030087,2022-11-06T19.17.10.087,9.748,0.457,1.677,0.152
1667755030128,2022-11-06T19.17.10.128,9.789,0.396,1.433,0.244
1667755030169,2022-11-06T19.17.10.169,9.830,-0.091,1.250,0.000
1667755030210,2022-11-06T19.17.10.210,9.871,-0.488,1.067,-0.061
1667755030250,2022-11-06T19.17.10.250,9.911,0.274,0.976,0.305
1667755030291,2022-11-06T19.17.10.291,9.952,0.000,1.128,0.244
1667755030332,2022-11-06T19.17.10.332,9.993,-0.274,1.128,0.244
1667755030373,2022-11-06T19.17.10.373,10.034,0.000,0.945,0.213
1667755030412,2022-11-06T19.17.10.412,10.073,-0.244,0.884,0.183
1667755030453,2022-11-06T19.17.10.453,10.114,-0.183,0.945,0.274
1667755030494,2022-11-06T19.17.10.494,10.155,-0.579,0.976,0.061
1667755030534,2022-11-06T19.17.10.534,10.195,-0.244,0.823,0.244
1667755030575,2022-11-06T19.17.10.575,10.236,-0.122,0.915,0.152
1667755030616,2022-11-06T19.17.10.616,10.277,0.549,0.945,0.122
1667755030657,2022-11-06T19.17.10.657,10.318,0.396,0.701,0.244
1667755030696,2022-11-06T19.17.10.696,10.357,-0.122,0.518,0.366
1667755030737,2022-11-06T19.17.10.737,10.398,0.305,0.671,0.366
1667755030778,2022-11-06T19.17.10.778,10.439,0.518,0.976,0.183
1667755030820,2022-11-06T19.17.10.820,10.481,-0.030,0.854,0.061
1667755030859,2022-11-06T19.17.10.859,10.520,0.183,0.762,0.061
1667755030900,2022-11-06T19.17.10.900,10.561,-0.244,0.854,-0.061
1667755030941,2022-11-06T19.17.10.941,10.602,-0.366,0.793,0.000
1667755030982,2022-11-06T19.17.10.982,10.643,-0.335,0.732,-0.122
1667755031022,2022-11-06T19.17.11.022,10.683,-0.091,0.671,0.000
1667755031063,2022-11-06T19.17.11.063,10.724,-0.335,0.762,-0.030
1667755031104,2022-11-06T19.17.11.104,10.765,-0.488,0.640,0.122
1667755031143,2022-11-06T19.17.11.143,10.804,0.030,0.640,0.152
1667755031184,2022-11-06T19.17.11.184,10.845,-0.518,0.671,-0.061
1667755031225,2022-11-06T19.17.11.225,10.886,-0.396,0.518,0.030
1667755031266,2022-11-06T19.17.11.266,10.927,-0.610,0.671,0.000
1667755031306,2022-11-06T19.17.11.306,10.967,0.244,0.823,0.122
1667755031347,2022-11-06T19.17.11.347,11.008,0.213,0.640,0.213
1667755031388,2022-11-06T19.17.11.388,11.049,-0.640,0.488,0.091
1667755031429,2022-11-06T19.17.11.429,11.090,-0.823,0.610,0.122
1667755031468,2022-11-06T19.17.11.468,11.129,0.091,0.945,0.061
1667755031509,2022-11-06T19.17.11.509,11.170,-0.335,0.610,0.183
1667755031550,2022-11-06T19.17.11.550,11.211,-0.762,0.549,0.091
1667755031591,2022-11-06T19.17.11.591,11.252,-0.152,0.732,-0.061
1667755031631,2022-11-06T19.17.11.631,11.292,-0.091,0.579,0.061
1667755031672,2022-11-06T19.17.11.672,11.333,-0.244,0.610,0.030
1667755031713,2022-11-06T19.17.11.713,11.374,0.000,0.518,0.152
1667755031753,2022-11-06T19.17.11.753,11.414,-0.366,0.610,0.030
1667755031794,2022-11-06T19.17.11.794,11.455,0.030,0.701,0.061
1667755031835,2022-11-06T19.17.11.835,11.496,-0.335,0.610,-0.061
1667755031876,2022-11-06T19.17.11.876,11.537,-0.366,0.518,-0.030
1667755031915,2022-11-06T19.17.11.915,11.576,-0.396,0.457,-0.061
1667755031956,2022-11-06T19.17.11.956,11.617,-0.213,0.518,-0.030
1667755031997,2022-11-06T19.17.11.997,11.658,0.274,0.579,-0.030
1667755032038,2022-11-06T19.17.12.038,11.699,-0.061,0.457,0.122
1667755032078,2022-11-06T19.17.12.078,11.739,-0.610,0.579,0.122
1667755032119,2022-11-06T19.17.12.119,11.780,-0.518,0.579,0.061
1667755032160,2022-11-06T19.17.12.160,11.821,-0.366,0.732,0.000
1667755032199,2022-11-06T19.17.12.199,11.860,-0.488,0.701,-0.030
1667755032240,2022-11-06T19.17.12.240,11.901,-0.884,0.518,-0.030
