epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667892581634,2022-11-08T09:29:41.634,12.917,-0.077,0.337,-0.943
1667892581675,2022-11-08T09:29:41.675,12.958,-0.075,0.336,-0.944
1667892581717,2022-11-08T09:29:41.717,13.000,-0.077,0.337,-0.944
1667892581758,2022-11-08T09:29:41.758,13.041,-0.076,0.337,-0.944
1667892581797,2022-11-08T09:29:41.797,13.080,-0.076,0.335,-0.944
1667892581838,2022-11-08T09:29:41.838,13.121,-0.076,0.336,-0.944
1667892581879,2022-11-08T09:29:41.879,13.162,-0.077,0.334,-0.945
1667892581920,2022-11-08T09:29:41.920,13.203,-0.076,0.332,-0.946
1667892581960,2022-11-08T09:29:41.960,13.243,-0.075,0.336,-0.945
1667892582001,2022-11-08T09:29:42.001,13.284,-0.074,0.336,-0.944
1667892582042,2022-11-08T09:29:42.042,13.325,-0.075,0.335,-0.944
1667892582081,2022-11-08T09:29:42.081,13.364,-0.076,0.333,-0.945
1667892582122,2022-11-08T09:29:42.122,13.405,-0.075,0.334,-0.946
1667892582163,2022-11-08T09:29:42.163,13.446,-0.076,0.335,-0.945
1667892582204,2022-11-08T09:29:42.204,13.487,-0.075,0.335,-0.945
1667892582244,2022-11-08T09:29:42.244,13.527,-0.076,0.333,-0.945
1667892582285,2022-11-08T09:29:42.285,13.568,-0.077,0.333,-0.946
1667892582326,2022-11-08T09:29:42.326,13.609,-0.076,0.334,-0.946
1667892582367,2022-11-08T09:29:42.367,13.650,-0.075,0.334,-0.945
1667892582406,2022-11-08T09:29:42.406,13.689,-0.076,0.330,-0.946
1667892582447,2022-11-08T09:29:42.447,13.730,-0.077,0.332,-0.946
1667892582488,2022-11-08T09:29:42.488,13.771,-0.076,0.332,-0.946
1667892582528,2022-11-08T09:29:42.528,13.811,-0.076,0.332,-0.945
1667892582569,2022-11-08T09:29:42.569,13.852,-0.076,0.329,-0.946
1667892582610,2022-11-08T09:29:42.610,13.893,-0.076,0.331,-0.947
1667892582651,2022-11-08T09:29:42.651,13.934,-0.076,0.330,-0.946
1667892582691,2022-11-08T09:29:42.691,13.974,-0.077,0.328,-0.947
1667892582732,2022-11-08T09:29:42.732,14.015,-0.076,0.330,-0.947
1667892582773,2022-11-08T09:29:42.773,14.056,-0.075,0.329,-0.945
1667892582814,2022-11-08T09:29:42.814,14.097,-0.076,0.330,-0.946
