epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667737128803,2022-11-06T14.18.48.803,9.952,0.456,-0.063,-0.914
1667737128844,2022-11-06T14.18.48.844,9.993,0.450,-0.057,-0.916
1667737128885,2022-11-06T14.18.48.885,10.034,0.459,-0.061,-0.912
1667737128924,2022-11-06T14.18.48.924,10.073,0.462,-0.062,-0.907
1667737128965,2022-11-06T14.18.48.965,10.114,0.454,-0.071,-0.912
1667737129006,2022-11-06T14.18.49.006,10.155,0.453,-0.064,-0.910
1667737129047,2022-11-06T14.18.49.047,10.196,0.456,-0.071,-0.911
1667737129087,2022-11-06T14.18.49.087,10.236,0.458,-0.070,-0.911
1667737129128,2022-11-06T14.18.49.128,10.277,0.458,-0.068,-0.911
1667737129169,2022-11-06T14.18.49.169,10.318,0.457,-0.069,-0.911
1667737129210,2022-11-06T14.18.49.210,10.359,0.456,-0.067,-0.912
1667737129250,2022-11-06T14.18.49.250,10.399,0.456,-0.069,-0.910
1667737129291,2022-11-06T14.18.49.291,10.440,0.457,-0.069,-0.911
1667737129332,2022-11-06T14.18.49.332,10.481,0.456,-0.068,-0.911
1667737129371,2022-11-06T14.18.49.371,10.520,0.459,-0.071,-0.910
1667737129412,2022-11-06T14.18.49.412,10.561,0.458,-0.071,-0.910
1667737129453,2022-11-06T14.18.49.453,10.602,0.458,-0.067,-0.913
1667737129494,2022-11-06T14.18.49.494,10.643,0.456,-0.065,-0.910
1667737129534,2022-11-06T14.18.49.534,10.683,0.457,-0.072,-0.912
1667737129575,2022-11-06T14.18.49.575,10.724,0.458,-0.066,-0.911
1667737129616,2022-11-06T14.18.49.616,10.765,0.456,-0.066,-0.911
1667737129657,2022-11-06T14.18.49.657,10.806,0.458,-0.070,-0.910
1667737129696,2022-11-06T14.18.49.696,10.845,0.456,-0.070,-0.911
1667737129737,2022-11-06T14.18.49.737,10.886,0.457,-0.064,-0.911
1667737129778,2022-11-06T14.18.49.778,10.927,0.456,-0.069,-0.912
1667737129819,2022-11-06T14.18.49.819,10.968,0.455,-0.065,-0.912
1667737129859,2022-11-06T14.18.49.859,11.008,0.454,-0.065,-0.912
1667737129900,2022-11-06T14.18.49.900,11.049,0.457,-0.067,-0.910
1667737129941,2022-11-06T14.18.49.941,11.090,0.457,-0.065,-0.910
1667737129981,2022-11-06T14.18.49.981,11.130,0.454,-0.066,-0.913
1667737130022,2022-11-06T14.18.50.022,11.171,0.456,-0.064,-0.913
1667737130063,2022-11-06T14.18.50.063,11.212,0.460,-0.069,-0.907
1667737130104,2022-11-06T14.18.50.104,11.253,0.454,-0.066,-0.912
1667737130143,2022-11-06T14.18.50.143,11.292,0.454,-0.064,-0.912
1667737130184,2022-11-06T14.18.50.184,11.333,0.457,-0.066,-0.909
1667737130225,2022-11-06T14.18.50.225,11.374,0.457,-0.064,-0.910
1667737130266,2022-11-06T14.18.50.266,11.415,0.453,-0.064,-0.915
1667737130306,2022-11-06T14.18.50.306,11.455,0.458,-0.064,-0.910
1667737130347,2022-11-06T14.18.50.347,11.496,0.455,-0.066,-0.912
1667737130388,2022-11-06T14.18.50.388,11.537,0.453,-0.062,-0.913
1667737130429,2022-11-06T14.18.50.429,11.578,0.457,-0.064,-0.911
1667737130468,2022-11-06T14.18.50.468,11.617,0.455,-0.063,-0.911
1667737130509,2022-11-06T14.18.50.509,11.658,0.453,-0.063,-0.913
1667737130550,2022-11-06T14.18.50.550,11.699,0.456,-0.063,-0.911
1667737130590,2022-11-06T14.18.50.590,11.739,0.454,-0.062,-0.913
1667737130631,2022-11-06T14.18.50.631,11.780,0.455,-0.063,-0.913
1667737130672,2022-11-06T14.18.50.672,11.821,0.455,-0.065,-0.911
1667737130713,2022-11-06T14.18.50.713,11.862,0.453,-0.061,-0.913
1667737130753,2022-11-06T14.18.50.753,11.902,0.454,-0.062,-0.913
1667737130794,2022-11-06T14.18.50.794,11.943,0.455,-0.061,-0.911
1667737130835,2022-11-06T14.18.50.835,11.984,0.453,-0.057,-0.915
1667737130876,2022-11-06T14.18.50.876,12.025,0.453,-0.061,-0.913
1667737130915,2022-11-06T14.18.50.915,12.064,0.453,-0.061,-0.913
1667737130956,2022-11-06T14.18.50.956,12.105,0.454,-0.060,-0.913
1667737130997,2022-11-06T14.18.50.997,12.146,0.454,-0.060,-0.913
1667737131037,2022-11-06T14.18.51.037,12.186,0.454,-0.061,-0.914
1667737131078,2022-11-06T14.18.51.078,12.227,0.453,-0.060,-0.914
1667737131119,2022-11-06T14.18.51.119,12.268,0.454,-0.059,-0.913
1667737131160,2022-11-06T14.18.51.160,12.309,0.455,-0.060,-0.911
1667737131199,2022-11-06T14.18.51.199,12.348,0.450,-0.059,-0.917
1667737131240,2022-11-06T14.18.51.240,12.389,0.453,-0.056,-0.914
1667737131281,2022-11-06T14.18.51.281,12.430,0.452,-0.060,-0.915
