epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668365990025,2022-11-13T20:59:50.025,12.470,-0.244,0.396,0.030
1668365990066,2022-11-13T20:59:50.066,12.511,-0.579,0.244,-0.091
1668365990107,2022-11-13T20:59:50.107,12.552,-0.793,0.396,-0.152
1668365990149,2022-11-13T20:59:50.149,12.594,-0.213,0.549,-0.122
1668365990188,2022-11-13T20:59:50.188,12.633,-0.610,0.579,-0.061
1668365990229,2022-11-13T20:59:50.229,12.674,-0.610,0.335,-0.030
1668365990270,2022-11-13T20:59:50.270,12.715,-0.122,0.488,-0.152
1668365990311,2022-11-13T20:59:50.311,12.756,-0.823,0.610,-0.091
1668365990351,2022-11-13T20:59:50.351,12.796,-0.457,0.610,-0.061
1668365990392,2022-11-13T20:59:50.392,12.837,-0.488,0.579,-0.122
1668365990433,2022-11-13T20:59:50.433,12.878,-0.366,0.366,-0.061
1668365990472,2022-11-13T20:59:50.472,12.917,-0.549,0.518,-0.122
1668365990513,2022-11-13T20:59:50.513,12.958,-0.366,0.488,-0.061
1668365990554,2022-11-13T20:59:50.554,12.999,-0.457,0.549,-0.091
1668365990595,2022-11-13T20:59:50.595,13.040,-0.366,0.610,-0.061
1668365990635,2022-11-13T20:59:50.635,13.080,-0.579,0.640,-0.030
1668365990676,2022-11-13T20:59:50.676,13.121,-0.488,0.762,-0.122
1668365990717,2022-11-13T20:59:50.717,13.162,-0.396,0.701,-0.061
1668365990758,2022-11-13T20:59:50.758,13.203,-0.732,0.701,-0.030
1668365990797,2022-11-13T20:59:50.797,13.242,-0.244,0.732,-0.122
1668365990838,2022-11-13T20:59:50.838,13.283,-0.457,0.701,-0.122
1668365990879,2022-11-13T20:59:50.879,13.324,-0.762,0.610,-0.030
1668365990919,2022-11-13T20:59:50.919,13.364,-0.396,0.549,-0.091
1668365990960,2022-11-13T20:59:50.960,13.405,-0.457,0.732,-0.061
1668365991001,2022-11-13T20:59:51.001,13.446,-0.610,0.640,0.122
1668365991042,2022-11-13T20:59:51.042,13.487,-0.427,0.610,-0.091
1668365991082,2022-11-13T20:59:51.082,13.527,-0.610,0.701,-0.030
1668365991123,2022-11-13T20:59:51.123,13.568,-0.366,0.701,-0.061
1668365991164,2022-11-13T20:59:51.164,13.609,-0.610,0.549,-0.030
1668365991205,2022-11-13T20:59:51.205,13.650,-0.335,0.549,-0.091
1668365991244,2022-11-13T20:59:51.244,13.689,-0.396,0.732,-0.122
1668365991285,2022-11-13T20:59:51.285,13.730,-0.671,0.732,-0.061
1668365991326,2022-11-13T20:59:51.326,13.771,-0.152,0.549,-0.091
1668365991367,2022-11-13T20:59:51.367,13.812,-0.457,0.549,-0.091
1668365991407,2022-11-13T20:59:51.407,13.852,-0.518,0.732,-0.061
1668365991448,2022-11-13T20:59:51.448,13.893,-0.152,0.732,-0.091
1668365991489,2022-11-13T20:59:51.489,13.934,-0.518,0.610,-0.030
1668365991528,2022-11-13T20:59:51.528,13.973,-0.274,0.640,-0.091
1668365991569,2022-11-13T20:59:51.569,14.014,-0.366,0.640,-0.122
1668365991610,2022-11-13T20:59:51.610,14.055,-0.366,0.518,-0.122
1668365991651,2022-11-13T20:59:51.651,14.096,-0.244,0.457,-0.091
1668365991691,2022-11-13T20:59:51.691,14.136,-0.396,0.579,-0.091
1668365991732,2022-11-13T20:59:51.732,14.177,-0.610,0.610,-0.030
1668365991773,2022-11-13T20:59:51.773,14.218,-0.366,0.549,-0.030
